player,pos,season,Players,2024/2025
Mason Jones,SG,2024,Mason Jones,"$578,577 "
Mason Plumlee,C,2024,Mason Plumlee,"$3,303,771 "
Matisse Thybulle,SF,2024,Matisse Thybulle,"$11,025,000 "
Matt Ryan,SF,2024,Matt Ryan,"$1,988,603 "
Max Christie,SG,2024,Max Christie,"$7,142,857 "
Max Strus,SF,2024,Max Strus,"$15,212,068 "
Maxi Kleber,C,2024,Maxi Kleber,"$11,000,000 "
Maxwell Lewis,SF,2024,Maxwell Lewis,"$1,891,857 "
Micah Potter,PF,2024,Micah Potter,"$578,577 "
Mikal Bridges,SF,2024,Mikal Bridges,"$23,300,000 "
Mike Conley,PG,2024,Mike Conley,"$9,975,962 "
Miles Bridges,SF,2024,Miles Bridges,"$27,173,913 "
Miles McBride,PG,2024,Miles McBride,"$4,710,144 "
Mitchell Robinson,C,2024,Mitchell Robinson,"$14,318,182 "
Mo Bamba,C,2024,Mo Bamba,"$2,613,120 "
Monte Morris,PG,2024,Monte Morris,"$2,800,834 "
Moritz Wagner,C,2024,Moritz Wagner,"$11,000,000 "
Moses Brown,C,2024,Moses Brown,"$306,660 "
Moses Moody,SG,2024,Moses Moody,"$5,803,269 "
Mouhamed Gueye,PF,2024,Mouhamed Gueye,"$1,891,857 "
Myles Turner,C,2024,Myles Turner,"$19,928,500 "
Naji Marshall,SF,2024,Naji Marshall,"$8,571,429 "
Nassir Little,SF,2024,Nassir Little,"$3,107,143 "
Naz Reid,C,2024,Naz Reid,"$13,986,432 "
Neemias Queta,C,2024,Neemias Queta,"$2,162,606 "
Nick Richards,C,2024,Nick Richards,"$5,000,000 "
Nickeil Alexander-Walker,SG,2024,Nickeil Alexander-Walker,"$4,312,500 "
Nicolas Batum,PF,2024,Nicolas Batum,"$4,668,000 "
Noah Clowney,PF,2024,Noah Clowney,"$3,244,080 "
Norman Powell,SG,2024,Norman Powell,"$19,241,379 "
OG Anunoby,SF,2024,OG Anunoby,"$36,637,932 "
Obi Toppin,PF,2024,Obi Toppin,"$12,975,000 "
Ochai Agbaji,SG,2024,Ochai Agbaji,"$4,310,280 "
Olivier-Maxence Prosper,PF,2024,Olivier-Maxence Prosper,"$2,870,406 "
Onyeka Okongwu,C,2024,Onyeka Okongwu,"$14,000,000 "
Orlando Robinson,C,2024,Orlando Robinson,"$2,087,519 "
Oscar Tshiebwe,PF,2024,Oscar Tshiebwe,"$578,577 "
Ousmane Dieng,PF,2024,Ousmane Dieng,"$5,027,040 "
Paolo Banchero,PF,2024,Paolo Banchero,"$12,160,800 "
Pascal Siakam,PF,2024,Pascal Siakam,"$42,176,400 "
Pat Connaughton,SF,2024,Pat Connaughton,"$9,423,869 "
Pat Spencer,PG,2024,Pat Spencer,"$578,577 "
Patrick Williams,PF,2024,Patrick Williams,"$18,000,000 "
Paul George,PF,2024,Paul George,"$49,205,800 "
Paul Reed,C,2024,Paul Reed,"$2,485,563 "
Payton Pritchard,PG,2024,Payton Pritchard,"$6,696,429 "
Pete Nance,PF,2024,Pete Nance,"$424,662 "
Peyton Watson,SF,2024,Peyton Watson,"$2,413,560 "
Precious Achiuwa,PF-C,2024,Precious Achiuwa,"$6,000,000 "
Precious Achiuwa,C,2024,Precious Achiuwa,"$6,000,000 "
Precious Achiuwa,PF,2024,Precious Achiuwa,"$6,000,000 "
Quentin Grimes,SG,2024,Quentin Grimes,"$4,296,682 "
Quenton Jackson,PG,2024,Quenton Jackson,"$578,577 "
RJ Barrett,SG,2024,RJ Barrett,"$25,794,643 "
Rayan Rupert,SG,2024,Rayan Rupert,"$1,891,857 "
Reggie Jackson,PG,2024,Reggie Jackson,"$5,250,000 "
Richaun Holmes,C-PF,2024,Richaun Holmes,"$12,648,321 "
Richaun Holmes,C,2024,Richaun Holmes,"$12,648,321 "
Richaun Holmes,PF,2024,Richaun Holmes,"$12,648,321 "
Robert Williams,C,2024,Robert Williams,"$12,428,571 "
Royce O'Neale,SF,2024,Royce O'Neale,"$9,375,000 "
Rudy Gobert,C,2024,Rudy Gobert,"$43,827,586 "
Rui Hachimura,PF,2024,Rui Hachimura,"$17,000,000 "
Russell Westbrook,PG,2024,Russell Westbrook,"$5,631,296 "
Ryan Rollins,PG,2024,Ryan Rollins,"$1,184,388 "
Saddiq Bey,SF,2024,Saddiq Bey,"$6,440,678 "
Sam Hauser,SF,2024,Sam Hauser,"$2,092,344 "
Sam Merrill,SG,2024,Sam Merrill,"$2,164,993 "
Sandro Mamukelashvili,C,2024,Sandro Mamukelashvili,"$2,162,606 "
Scoot Henderson,PG,2024,Scoot Henderson,"$10,259,449 "
Scottie Barnes,SG,2024,Scottie Barnes,"$10,130,980 "
Seth Curry,SG,2024,Seth Curry,"$3,303,771 "
Seth Lundy,SF,2024,Seth Lundy,"$578,577 "
Shaedon Sharpe,SG,2024,Shaedon Sharpe,"$6,614,160 "
Shai Gilgeous-Alexander,PG,2024,Shai Gilgeous-Alexander,"$35,859,950 "
Shake Milton,SG,2024,Shake Milton,"$2,875,000 "
Sidy Cissoko,SF,2024,Sidy Cissoko,"$1,891,857 "
Simone Fontecchio,SF,2024,Simone Fontecchio,"$7,692,308 "
Spencer Dinwiddie,PG,2024,Spencer Dinwiddie,"$3,303,771 "
Stanley Umude,SG,2024,Stanley Umude,"$578,577 "
Stephen Curry,PG,2024,Stephen Curry,"$55,761,217 "
Taj Gibson,PF,2024,Taj Gibson,"$3,303,771 "
Talen Horton-Tucker,PG,2024,Talen Horton-Tucker,"$2,425,403 "
Tari Eason,PF,2024,Tari Eason,"$3,695,160 "
Taurean Prince,PF,2024,Taurean Prince,"$2,988,550 "
Taylor Hendricks,PF,2024,Taylor Hendricks,"$5,848,366 "
Taze Moore,SG,2024,Taze Moore,"$578,577 "
Terance Mann,SG,2024,Terance Mann,"$11,423,077 "
Terry Rozier,PG-SG,2024,Terry Rozier,"$24,924,126 "
Terry Rozier,SG,2024,Terry Rozier,"$24,924,126 "
Terry Rozier,PG,2024,Terry Rozier,"$24,924,126 "
Tobias Harris,PF,2024,Tobias Harris,"$25,365,854 "
Torrey Craig,SF,2024,Torrey Craig,"$2,845,342 "
